feedback_id,campaign_id,feedback_text,sentiment,sentiment_score,issue_category,severity,feedback_source,feedback_date,resolution_status,response_time_hours,customer_segment,channel_of_campaign,repeat_complaint,escalation_required
FB31899,CMP16783,Your campaign mentioned free insurance but it had premium after first year.,Very Negative,-0.97,Aggressive Sales,Medium,Email,2023-03-31,Escalated,28.0,Existing Loan Customers,Push Notification,False,False
FB31900,CMP15084,Multiple calls from different executives for same product. Poor coordination!,Very Negative,-0.86,Spam/Excessive Messages,High,Social Media,2023-07-30,In Progress,6.0,Salaried Millennials,SMS,False,True
FB31901,CMP15325,General inquiry about the campaign offer.,Neutral,0.21,General Inquiry,Low,Survey,2026-02-03,Open,138.0,SMB Owners,SMS,False,False
FB31902,CMP10974,Your push notification timing is terrible. Getting messages at midnight!,Negative,-0.1,Duplicate Messages,High,Branch,2024-09-18,Open,88.0,Senior Citizens,WhatsApp,False,True
FB31903,CMP17859,I opted out of marketing communications but still getting WhatsApp promotions.,Negative,-0.14,App Issues,Medium,App Review,2025-11-17,Closed,68.0,High-Value Transactors,WhatsApp,True,False
FB31904,CMP13980,Email said exclusive offer but everyone got the same. Not really exclusive!,Very Negative,-0.98,Poor Timing,Critical,Social Media,2024-04-01,Resolved,67.0,Low-Balance Customers,Email,False,True
FB31905,CMP18327,Too many promotional SMS from your bank. Please stop sending these messages!,Negative,-0.15,Spam/Excessive Messages,Low,Branch,2025-08-03,In Progress,,Government Employees,Email,False,False
FB31906,CMP17162,Multiple calls from different executives for same product. Poor coordination!,Negative,-0.25,Aggressive Sales,High,App Review,2023-04-07,Resolved,80.0,Salaried Gen-Z,Email,False,True
FB31907,CMP11587,General inquiry about the campaign offer.,Neutral,0.1,General Inquiry,Low,Email,2024-06-06,Closed,13.0,Government Employees,Call Center,False,False
FB31908,CMP10780,General inquiry about the campaign offer.,Neutral,0.24,General Inquiry,Low,App Review,2026-02-06,Resolved,129.0,Dormant Account Holders,WhatsApp,False,False
FB31909,CMP15188,General inquiry about the campaign offer.,Neutral,0.15,General Inquiry,Low,Chatbot,2023-10-18,Open,113.0,Dormant Account Holders,Email,False,False
FB31910,CMP11753,Your WhatsApp banking is very convenient. Love the quick response!,Positive,0.96,Appreciation,Low,Branch,2025-01-22,Closed,,Low-Balance Customers,Email,True,False
FB31911,CMP13816,The credit card upgrade offer was excellent. Enjoying the new benefits!,Positive,0.94,Appreciation,Low,Call Center,2025-03-03,Open,3.0,SMB Owners,WhatsApp,False,False
FB31912,CMP16156,App crashed when I tried to avail the campaign offer. Losing trust!,Very Negative,-0.56,Aggressive Sales,High,Call Center,2024-04-18,Resolved,67.0,Dormant Account Holders,Email,True,True
FB31913,CMP11652,Your executive called me during office hours for loan offer. Very unprofessional!,Very Negative,-0.39,Aggressive Sales,Low,Chatbot,2024-05-23,Escalated,109.0,First-Time Borrowers,WhatsApp,False,False
FB31914,CMP18736,Your campaign mentioned free insurance but it had premium after first year.,Very Negative,-0.9,Spam/Excessive Messages,High,Chatbot,2025-05-28,In Progress,,Women Professionals,WhatsApp,False,True
FB31915,CMP18245,General inquiry about the campaign offer.,Neutral,0.13,General Inquiry,Low,Branch,2025-04-01,Closed,47.0,Government Employees,SMS,False,False
FB31916,CMP12961,The cashback promised in campaign never got credited. Follow up required.,Very Negative,-0.81,Aggressive Sales,Medium,Call Center,2023-05-19,Closed,154.0,Healthcare Workers,Push Notification,False,False
FB31917,CMP11751,App crashed when I tried to avail the campaign offer. Losing trust!,Very Negative,-0.78,Technical Issues,High,Branch,2026-04-19,Closed,37.0,Government Employees,SMS,False,True
FB31918,CMP16592,Loan processing fee was higher than mentioned in campaign. Please clarify!,Negative,-0.09,Poor Timing,High,App Review,2023-12-30,Open,165.0,Low-Balance Customers,Email,False,True
FB31919,CMP18613,Multiple calls from different executives for same product. Poor coordination!,Negative,-0.29,Hidden Charges,High,Call Center,2023-10-03,Resolved,,IT Professionals,SMS,False,True
FB31920,CMP11473,Great offer on personal loan! Applied and got approval within hours. Impressed!,Positive,0.44,Appreciation,Low,Chatbot,2026-03-12,Escalated,29.0,Dormant Account Holders,Push Notification,False,False
FB31921,CMP17220,The offer expired but I still received promotional SMS for it. Waste of time!,Very Negative,-0.49,Duplicate Messages,Critical,Survey,2024-12-31,Closed,92.0,Salaried Millennials,SMS,False,True
FB31922,CMP19664,General inquiry about the campaign offer.,Neutral,0.07,General Inquiry,Low,App Review,2024-07-30,Resolved,29.0,Mass Affluent,SMS,True,False
FB31923,CMP11385,I opted out of marketing communications but still getting WhatsApp promotions.,Negative,-0.22,Duplicate Messages,Medium,Social Media,2026-02-09,Escalated,,IT Professionals,WhatsApp,False,False
FB31924,CMP18595,The offer expired but I still received promotional SMS for it. Waste of time!,Negative,-0.03,Duplicate Messages,Low,Chatbot,2023-05-02,In Progress,122.0,Existing Loan Customers,Call Center,False,False
FB31925,CMP15262,The app notification for bill payment reminder was helpful. Avoided late fee!,Positive,0.66,Appreciation,Low,Call Center,2024-08-13,Closed,,Students,Email,True,False
FB31926,CMP16797,Your app showed pre-approved loan but branch rejected. False advertising!,Very Negative,-0.93,Irrelevant Offers,High,Branch,2025-10-10,Escalated,35.0,Premium Card Holders,Call Center,True,True
FB31927,CMP17043,I'm not interested in loans but keep getting loan offers. Wrong targeting!,Very Negative,-0.64,Unclear Terms,High,Chatbot,2023-05-22,Escalated,90.0,HNI Customers,Push Notification,False,True
FB31928,CMP10022,Loan processing fee was higher than mentioned in campaign. Please clarify!,Negative,-0.2,Misleading Information,Low,Branch,2023-07-26,Open,,Low-Balance Customers,Push Notification,False,False
FB31929,CMP14044,General inquiry about the campaign offer.,Neutral,0.28,General Inquiry,Low,Social Media,2023-05-28,In Progress,1.0,Mass Affluent,Email,False,False
FB31930,CMP15627,The cashback promised in campaign never got credited. Follow up required.,Negative,-0.04,Service Delay,Critical,Chatbot,2023-04-09,Resolved,164.0,High-Value Transactors,SMS,False,True
FB31931,CMP13418,The interest rate in SMS was different from what your branch quoted. Cheating!,Negative,-0.15,Hidden Charges,Low,Survey,2025-03-01,Open,,Existing Loan Customers,Email,False,False
FB31932,CMP19729,Loan processing fee was higher than mentioned in campaign. Please clarify!,Negative,-0.12,Unsubscribe Failed,Medium,Call Center,2025-10-01,Closed,31.0,First-Time Borrowers,Email,False,False
FB31933,CMP13755,The festive offer on home loan saved me a lot on processing fees. Happy customer!,Positive,0.4,Appreciation,Low,Branch,2025-04-17,In Progress,29.0,First-Time Borrowers,Email,False,False
FB31934,CMP14994,I've already unsubscribed but still receiving marketing calls. Very frustrating!,Negative,-0.09,Technical Issues,High,Survey,2025-05-02,Open,33.0,IT Professionals,Call Center,True,True
FB31935,CMP11154,The festive offer on home loan saved me a lot on processing fees. Happy customer!,Positive,0.99,Appreciation,Low,Chatbot,2023-08-25,Open,22.0,Students,Email,False,False
FB31936,CMP16938,Campaign offer was exactly as mentioned. No hidden charges. Trustworthy!,Positive,0.45,Appreciation,Low,Social Media,2024-08-04,Closed,24.0,Low-Balance Customers,Push Notification,False,False
FB31937,CMP14677,I've already unsubscribed but still receiving marketing calls. Very frustrating!,Negative,-0.19,Technical Issues,High,Call Center,2024-10-06,Open,61.0,Women Professionals,Call Center,True,True
FB31938,CMP13326,App crashed when I tried to avail the campaign offer. Losing trust!,Negative,-0.2,Poor Timing,Critical,Branch,2023-07-29,Resolved,7.0,Salaried Gen-Z,Push Notification,False,True
FB31939,CMP17628,Your executive called me during office hours for loan offer. Very unprofessional!,Negative,-0.19,Poor Timing,High,App Review,2023-12-06,Escalated,117.0,Self-Employed,SMS,True,True
FB31940,CMP15687,The credit card upgrade offer was excellent. Enjoying the new benefits!,Positive,0.7,Appreciation,Low,Chatbot,2023-11-20,Open,96.0,Healthcare Workers,Push Notification,False,False
FB31941,CMP11344,Your push notification timing is terrible. Getting messages at midnight!,Negative,-0.01,Poor Timing,Medium,Chatbot,2023-07-09,Closed,100.0,Retired Professionals,Email,True,False
FB31942,CMP11693,The credit card offer was not as mentioned. Hidden charges everywhere!,Negative,-0.08,Irrelevant Offers,High,Social Media,2025-10-26,In Progress,163.0,Mass Affluent,SMS,False,True
FB31943,CMP18356,App crashed when I tried to avail the campaign offer. Losing trust!,Very Negative,-0.47,Irrelevant Offers,High,App Review,2023-01-30,Escalated,70.0,Women Professionals,WhatsApp,False,True
FB31944,CMP12814,Too many promotional SMS from your bank. Please stop sending these messages!,Very Negative,-0.79,Spam/Excessive Messages,High,Survey,2023-07-05,Escalated,134.0,High-Value Transactors,WhatsApp,True,True
FB31945,CMP15314,General inquiry about the campaign offer.,Neutral,0.05,General Inquiry,Low,Social Media,2025-12-27,In Progress,33.0,Low-Balance Customers,Call Center,False,False
FB31946,CMP12419,Campaign offer was exactly as mentioned. No hidden charges. Trustworthy!,Positive,0.53,Appreciation,Low,App Review,2025-01-27,Closed,38.0,HNI Customers,Push Notification,False,False
FB31947,CMP18592,Loan processing fee was higher than mentioned in campaign. Please clarify!,Negative,-0.13,Misleading Information,Medium,App Review,2024-11-12,In Progress,,HNI Customers,Email,False,False
FB31948,CMP15394,The offer expired but I still received promotional SMS for it. Waste of time!,Very Negative,-0.53,Unclear Terms,Critical,Survey,2024-12-21,Escalated,161.0,First-Time Borrowers,Call Center,False,True
FB31949,CMP17022,Timely SMS about FD rate increase helped me invest at the right time. Thanks!,Positive,0.84,Appreciation,Low,Survey,2023-07-02,Escalated,145.0,First-Time Borrowers,Push Notification,False,False
FB31950,CMP15449,Your campaign mentioned free insurance but it had premium after first year.,Very Negative,-0.7,Technical Issues,Critical,Branch,2023-11-18,Open,111.0,Premium Card Holders,Call Center,True,True
FB31951,CMP17741,The interest rate in SMS was different from what your branch quoted. Cheating!,Very Negative,-0.75,Hidden Charges,Critical,Chatbot,2026-02-18,Open,70.0,Healthcare Workers,Email,False,True
FB31952,CMP12578,Too many promotional SMS from your bank. Please stop sending these messages!,Very Negative,-0.82,Hidden Charges,Critical,App Review,2026-01-07,Resolved,135.0,Premium Card Holders,Call Center,False,True
FB31953,CMP13222,Email said exclusive offer but everyone got the same. Not really exclusive!,Negative,-0.06,Aggressive Sales,High,Branch,2025-08-23,Resolved,42.0,NRI Customers,Email,False,True
FB31954,CMP14522,Great offer on personal loan! Applied and got approval within hours. Impressed!,Positive,0.3,Appreciation,Low,App Review,2024-03-22,In Progress,22.0,Salaried Gen-Z,Push Notification,False,False
FB31955,CMP10115,Keep getting duplicate messages on both SMS and WhatsApp. Very annoying!,Negative,-0.12,Privacy Concerns,Low,Chatbot,2024-01-10,Escalated,3.0,Existing Loan Customers,Email,True,False
FB31956,CMP15924,Credit limit mentioned in message doesn't match my actual approved limit.,Very Negative,-0.84,Misleading Information,Medium,Survey,2025-07-21,Resolved,137.0,Salaried Gen-Z,Push Notification,True,False
FB31957,CMP18597,Promotional message language was different from my preference. Update records!,Negative,-0.06,Hidden Charges,Critical,Survey,2026-04-02,Escalated,,Self-Employed,Email,False,True
FB31958,CMP11516,I'm not interested in loans but keep getting loan offers. Wrong targeting!,Very Negative,-0.94,App Issues,Medium,Email,2024-01-04,Resolved,2.0,Premium Card Holders,Call Center,False,False
FB31959,CMP16214,The app notification for bill payment reminder was helpful. Avoided late fee!,Positive,0.81,Appreciation,Low,Chatbot,2023-10-09,Open,156.0,Premium Card Holders,WhatsApp,False,False
FB31960,CMP16602,The interest rate in SMS was different from what your branch quoted. Cheating!,Negative,-0.29,Poor Timing,Medium,Branch,2025-10-10,Resolved,73.0,Retired Professionals,Push Notification,False,False
FB31961,CMP17733,Too many promotional SMS from your bank. Please stop sending these messages!,Negative,-0.13,Unsubscribe Failed,Low,Branch,2023-06-20,In Progress,164.0,Mass Affluent,SMS,True,False
FB31962,CMP14707,Loan processing fee was higher than mentioned in campaign. Please clarify!,Negative,-0.12,Poor Timing,Medium,Social Media,2023-12-05,Escalated,,Mass Affluent,Call Center,False,False
FB31963,CMP12413,Keep getting duplicate messages on both SMS and WhatsApp. Very annoying!,Negative,-0.3,App Issues,Critical,App Review,2025-04-26,Escalated,,Senior Citizens,Call Center,False,True
FB31964,CMP14073,I'm not interested in loans but keep getting loan offers. Wrong targeting!,Very Negative,-0.4,Duplicate Messages,Low,Branch,2025-01-25,In Progress,158.0,Healthcare Workers,WhatsApp,True,False
FB31965,CMP14427,The special rate for existing customers was same as new customer rate. Disappointed!,Negative,-0.07,Technical Issues,High,Social Media,2025-05-23,Resolved,152.0,Low-Balance Customers,Push Notification,False,True
FB31966,CMP10867,Keep getting duplicate messages on both SMS and WhatsApp. Very annoying!,Negative,-0.25,Technical Issues,High,Branch,2024-12-25,Escalated,15.0,Government Employees,Call Center,False,True
FB31967,CMP14970,The app notification for bill payment reminder was helpful. Avoided late fee!,Positive,0.95,Appreciation,Low,Call Center,2024-11-18,Closed,86.0,Students,Email,False,False
FB31968,CMP16096,Your app showed pre-approved loan but branch rejected. False advertising!,Negative,-0.2,Aggressive Sales,Critical,Chatbot,2024-12-20,Closed,121.0,Women Professionals,Email,False,True
FB31969,CMP16182,Your app showed pre-approved loan but branch rejected. False advertising!,Negative,-0.21,Aggressive Sales,Medium,Social Media,2025-07-25,In Progress,62.0,SMB Owners,SMS,False,False
FB31970,CMP17076,I've already unsubscribed but still receiving marketing calls. Very frustrating!,Very Negative,-0.62,Aggressive Sales,High,Call Center,2023-01-17,Closed,,Existing Loan Customers,SMS,True,True
FB31971,CMP19986,Credit limit mentioned in message doesn't match my actual approved limit.,Very Negative,-0.92,Technical Issues,Medium,Chatbot,2025-07-29,Open,,Premium Card Holders,Push Notification,False,False
FB31972,CMP13619,Email said exclusive offer but everyone got the same. Not really exclusive!,Negative,-0.05,Hidden Charges,High,Chatbot,2024-04-16,Closed,53.0,High-Value Transactors,WhatsApp,True,True
FB31973,CMP15892,The offer mentioned in SMS is not applicable to my account. Misleading information!,Very Negative,-0.8,Duplicate Messages,High,Survey,2025-07-12,Escalated,3.0,Dormant Account Holders,Call Center,True,True
FB31974,CMP17945,The offer mentioned in SMS is not applicable to my account. Misleading information!,Very Negative,-0.33,Unsubscribe Failed,High,Survey,2025-01-18,In Progress,38.0,Women Professionals,Call Center,False,True
FB31975,CMP18635,Received 5 promotional messages today alone. This is harassment!,Negative,-0.25,Unsubscribe Failed,Medium,Survey,2025-07-25,Resolved,10.0,Self-Employed,Email,False,False
FB31976,CMP16953,Loan processing fee was higher than mentioned in campaign. Please clarify!,Negative,-0.26,Irrelevant Offers,Critical,Chatbot,2024-11-14,In Progress,82.0,Women Professionals,Email,False,True
FB31977,CMP13870,The festive offer on home loan saved me a lot on processing fees. Happy customer!,Positive,0.35,Appreciation,Low,App Review,2024-08-19,Open,100.0,Healthcare Workers,SMS,False,False
FB31978,CMP12360,Your push notification timing is terrible. Getting messages at midnight!,Very Negative,-0.73,Unclear Terms,High,Branch,2024-06-20,Closed,,High-Value Transactors,SMS,False,True
FB31979,CMP11398,Promotional message language was different from my preference. Update records!,Negative,-0.06,Duplicate Messages,Critical,Social Media,2025-01-12,Open,17.0,Senior Citizens,Call Center,False,True
FB31980,CMP11842,The offer mentioned in SMS is not applicable to my account. Misleading information!,Very Negative,-0.92,App Issues,Critical,Survey,2023-09-28,Open,11.0,Salaried Gen-Z,Call Center,False,True
FB31981,CMP19657,General inquiry about the campaign offer.,Neutral,0.07,General Inquiry,Low,Branch,2023-05-27,In Progress,,Healthcare Workers,WhatsApp,True,False
FB31982,CMP14558,Multiple calls from different executives for same product. Poor coordination!,Negative,-0.18,Unsubscribe Failed,Low,Call Center,2026-03-11,Closed,46.0,Premium Card Holders,Email,False,False
FB31983,CMP15723,The interest rate in SMS was different from what your branch quoted. Cheating!,Negative,-0.05,Misleading Information,High,Chatbot,2023-09-27,Closed,,High-Value Transactors,SMS,False,True
FB31984,CMP18920,General inquiry about the campaign offer.,Neutral,0.2,General Inquiry,Low,Survey,2025-02-28,Escalated,165.0,Mass Affluent,Push Notification,False,False
FB31985,CMP19914,Keep getting duplicate messages on both SMS and WhatsApp. Very annoying!,Negative,-0.21,Hidden Charges,Medium,Branch,2023-06-19,Resolved,112.0,Senior Citizens,WhatsApp,False,False
FB31986,CMP18149,Keep getting duplicate messages on both SMS and WhatsApp. Very annoying!,Negative,-0.3,App Issues,Low,Email,2023-01-27,Open,34.0,SMB Owners,Email,True,False
FB31987,CMP14260,Your campaign mentioned free insurance but it had premium after first year.,Very Negative,-0.56,Misleading Information,Low,Branch,2025-05-20,Resolved,98.0,Retired Professionals,Push Notification,False,False
FB31988,CMP19396,I opted out of marketing communications but still getting WhatsApp promotions.,Negative,-0.15,Technical Issues,Low,Branch,2024-06-26,Open,39.0,Retired Professionals,Email,True,False
FB31989,CMP13432,Received 5 promotional messages today alone. This is harassment!,Negative,-0.04,Poor Timing,High,App Review,2024-10-19,Closed,,Salaried Millennials,WhatsApp,True,True
FB31990,CMP13800,Your WhatsApp Business messages are too frequent. Considering blocking!,Negative,-0.2,Unclear Terms,High,App Review,2025-04-15,Resolved,146.0,Premium Card Holders,Push Notification,False,True
FB31991,CMP19525,Timely SMS about FD rate increase helped me invest at the right time. Thanks!,Positive,0.49,Appreciation,Low,Chatbot,2023-12-09,Escalated,101.0,Students,SMS,False,False
FB31992,CMP16149,The cashback promised in campaign never got credited. Follow up required.,Negative,-0.0,Aggressive Sales,Critical,Chatbot,2026-02-01,Closed,44.0,Women Professionals,Email,False,True
FB31993,CMP16379,I'm not interested in loans but keep getting loan offers. Wrong targeting!,Negative,-0.24,Hidden Charges,High,Branch,2023-05-20,In Progress,,Government Employees,Push Notification,False,True
FB31994,CMP14850,Keep getting duplicate messages on both SMS and WhatsApp. Very annoying!,Negative,-0.02,Service Delay,Low,Call Center,2024-09-10,In Progress,,Existing Loan Customers,SMS,False,False
FB31995,CMP12390,Credit limit mentioned in message doesn't match my actual approved limit.,Very Negative,-0.83,Irrelevant Offers,Medium,Email,2025-07-06,Closed,166.0,SMB Owners,SMS,False,False
FB31996,CMP12019,General inquiry about the campaign offer.,Neutral,0.02,General Inquiry,Low,Survey,2025-06-07,In Progress,51.0,Healthcare Workers,Email,False,False
FB31997,CMP17000,Your app showed pre-approved loan but branch rejected. False advertising!,Negative,-0.09,Technical Issues,Critical,Social Media,2025-02-22,Open,44.0,Retired Professionals,Email,True,True
FB31998,CMP13479,General inquiry about the campaign offer.,Neutral,0.12,General Inquiry,Low,Survey,2024-01-19,In Progress,1.0,Dormant Account Holders,WhatsApp,False,False
FB31999,CMP15521,Your app showed pre-approved loan but branch rejected. False advertising!,Very Negative,-0.7,Irrelevant Offers,High,Chatbot,2024-01-08,Open,,Senior Citizens,Email,False,True
FB32000,CMP15178,General inquiry about the campaign offer.,Neutral,0.15,General Inquiry,Low,Chatbot,2023-06-27,Closed,90.0,Dormant Account Holders,Call Center,False,False
FB32001,CMP14300,The credit card offer was not as mentioned. Hidden charges everywhere!,Negative,-0.26,Technical Issues,Critical,Chatbot,2025-03-11,Escalated,108.0,Healthcare Workers,Email,False,True
FB32002,CMP19295,The cashback promised in campaign never got credited. Follow up required.,Negative,-0.04,Irrelevant Offers,High,Email,2023-05-30,Escalated,44.0,SMB Owners,Call Center,False,True
FB32003,CMP17643,The cashback promised in campaign never got credited. Follow up required.,Negative,-0.08,Unclear Terms,Medium,Social Media,2023-06-18,Closed,6.0,Women Professionals,WhatsApp,False,False
FB32004,CMP10221,General inquiry about the campaign offer.,Neutral,0.02,General Inquiry,Low,Branch,2024-12-28,Open,89.0,SMB Owners,Email,False,False
FB32005,CMP16407,The special rate for existing customers was same as new customer rate. Disappointed!,Very Negative,-0.47,Privacy Concerns,High,Social Media,2025-10-08,In Progress,95.0,IT Professionals,Email,True,True
FB32006,CMP10551,The cashback promised in campaign never got credited. Follow up required.,Negative,-0.27,Spam/Excessive Messages,High,Survey,2025-05-08,Resolved,24.0,Healthcare Workers,Call Center,True,True
FB32007,CMP16149,The EMI calculator in campaign shows different amount than actual EMI.,Very Negative,-0.58,Privacy Concerns,High,Call Center,2024-09-29,Open,67.0,Retired Professionals,Push Notification,False,True
FB32008,CMP19424,Received personalized offer matching my needs. Good targeting!,Positive,0.94,Appreciation,Low,Social Media,2024-10-03,Resolved,11.0,Low-Balance Customers,SMS,True,False
FB32009,CMP14570,Credit limit mentioned in message doesn't match my actual approved limit.,Very Negative,-0.45,Poor Timing,High,App Review,2024-04-20,In Progress,,Premium Card Holders,WhatsApp,True,True
FB32010,CMP17657,Your campaign mentioned free insurance but it had premium after first year.,Very Negative,-0.62,Unclear Terms,Critical,Social Media,2023-01-25,Closed,,NRI Customers,Email,True,True
FB32011,CMP14508,Loan processing fee was higher than mentioned in campaign. Please clarify!,Negative,-0.23,Misleading Information,Low,Social Media,2023-02-23,In Progress,,Existing Loan Customers,Push Notification,False,False
FB32012,CMP18351,Campaign offer was exactly as mentioned. No hidden charges. Trustworthy!,Positive,0.55,Appreciation,Low,App Review,2023-02-10,Resolved,158.0,First-Time Borrowers,Push Notification,True,False
FB32013,CMP15124,Campaign offer was exactly as mentioned. No hidden charges. Trustworthy!,Positive,0.89,Appreciation,Low,Email,2024-01-23,Closed,112.0,Premium Card Holders,WhatsApp,False,False
FB32014,CMP17556,General inquiry about the campaign offer.,Neutral,0.29,General Inquiry,Low,Email,2023-01-04,Closed,58.0,Low-Balance Customers,SMS,True,False
FB32015,CMP11799,Campaign offer was exactly as mentioned. No hidden charges. Trustworthy!,Positive,0.34,Appreciation,Low,Chatbot,2023-10-15,Escalated,152.0,Salaried Millennials,WhatsApp,False,False
FB32016,CMP18582,Campaign offer was exactly as mentioned. No hidden charges. Trustworthy!,Positive,0.49,Appreciation,Low,Email,2023-10-29,Resolved,121.0,First-Time Borrowers,Push Notification,False,False
FB32017,CMP19400,Promotional message language was different from my preference. Update records!,Very Negative,-0.52,Spam/Excessive Messages,Medium,Branch,2023-06-27,Closed,63.0,IT Professionals,WhatsApp,False,False
FB32018,CMP11577,Received personalized offer matching my needs. Good targeting!,Positive,0.35,Appreciation,Low,Social Media,2024-11-07,Escalated,24.0,Senior Citizens,Email,False,False
FB32019,CMP16876,General inquiry about the campaign offer.,Neutral,0.1,General Inquiry,Low,Survey,2024-04-21,Resolved,60.0,Government Employees,Push Notification,False,False
FB32020,CMP11261,The cashback promised in campaign never got credited. Follow up required.,Very Negative,-0.7,Service Delay,Critical,Chatbot,2025-03-06,Resolved,26.0,IT Professionals,SMS,False,True
FB32021,CMP10228,Multiple calls from different executives for same product. Poor coordination!,Negative,-0.24,Wrong Customer Details,High,Chatbot,2026-03-07,Closed,133.0,First-Time Borrowers,SMS,False,True
FB32022,CMP11593,Your WhatsApp banking is very convenient. Love the quick response!,Positive,0.7,Appreciation,Low,Chatbot,2023-04-24,Open,,High-Value Transactors,WhatsApp,False,False
FB32023,CMP11652,The EMI calculator in campaign shows different amount than actual EMI.,Negative,-0.27,App Issues,High,Survey,2024-11-02,In Progress,,Students,Email,True,True
FB32024,CMP12989,Received personalized offer matching my needs. Good targeting!,Positive,0.86,Appreciation,Low,Email,2024-08-10,In Progress,,Mass Affluent,Call Center,True,False
FB32025,CMP18766,Received 5 promotional messages today alone. This is harassment!,Negative,-0.2,Service Delay,Medium,Branch,2025-09-10,Open,98.0,Self-Employed,SMS,True,False
FB32026,CMP11947,The interest rate in SMS was different from what your branch quoted. Cheating!,Negative,-0.17,Spam/Excessive Messages,High,Call Center,2025-05-14,Escalated,167.0,Existing Loan Customers,Push Notification,True,True
FB32027,CMP19851,Received 5 promotional messages today alone. This is harassment!,Negative,-0.26,Poor Timing,High,Chatbot,2026-04-29,In Progress,117.0,First-Time Borrowers,WhatsApp,False,True
FB32028,CMP18797,Your app showed pre-approved loan but branch rejected. False advertising!,Negative,-0.04,Hidden Charges,High,Call Center,2025-03-31,In Progress,,Mass Affluent,Email,False,True
FB32029,CMP10807,Your campaign mentioned free insurance but it had premium after first year.,Negative,-0.27,Wrong Customer Details,High,Branch,2024-11-01,Resolved,136.0,Salaried Millennials,Email,False,True
FB32030,CMP18720,The cashback promised in campaign never got credited. Follow up required.,Negative,-0.04,Aggressive Sales,High,App Review,2025-11-04,Closed,47.0,SMB Owners,WhatsApp,False,True
FB32031,CMP15700,Campaign offer was exactly as mentioned. No hidden charges. Trustworthy!,Positive,0.88,Appreciation,Low,Survey,2024-03-10,Closed,90.0,IT Professionals,Call Center,True,False
FB32032,CMP14143,General inquiry about the campaign offer.,Neutral,0.28,General Inquiry,Low,Email,2023-11-19,Escalated,107.0,SMB Owners,Call Center,True,False
FB32033,CMP13051,The interest rate in SMS was different from what your branch quoted. Cheating!,Negative,-0.22,Spam/Excessive Messages,High,Call Center,2025-06-27,Closed,152.0,Retired Professionals,WhatsApp,False,True
FB32034,CMP17337,Loan processing fee was higher than mentioned in campaign. Please clarify!,Negative,-0.03,Aggressive Sales,Medium,Call Center,2023-10-21,Resolved,133.0,IT Professionals,Push Notification,False,False
FB32035,CMP17321,Your WhatsApp banking is very convenient. Love the quick response!,Positive,0.74,Appreciation,Low,Branch,2023-09-25,Resolved,79.0,Mass Affluent,Call Center,False,False
FB32036,CMP12129,The credit card offer was not as mentioned. Hidden charges everywhere!,Negative,-0.23,Duplicate Messages,Medium,Email,2024-01-25,Resolved,125.0,HNI Customers,Call Center,False,False
FB32037,CMP11496,Your executive called me during office hours for loan offer. Very unprofessional!,Very Negative,-0.86,Service Delay,High,Call Center,2024-01-22,In Progress,,Students,Email,False,True
FB32038,CMP17268,Your executive called me during office hours for loan offer. Very unprofessional!,Negative,-0.07,Spam/Excessive Messages,Medium,Survey,2023-07-10,Resolved,103.0,Salaried Millennials,WhatsApp,False,False
FB32039,CMP14011,Too many promotional SMS from your bank. Please stop sending these messages!,Negative,-0.21,Unsubscribe Failed,Critical,Email,2024-12-25,Resolved,59.0,High-Value Transactors,Push Notification,False,True
FB32040,CMP17678,Your campaign mentioned free insurance but it had premium after first year.,Negative,-0.28,Service Delay,Medium,Branch,2023-09-07,Closed,,Students,Email,False,False
FB32041,CMP16531,I've already unsubscribed but still receiving marketing calls. Very frustrating!,Negative,-0.04,Duplicate Messages,Low,Social Media,2025-12-02,Open,105.0,Premium Card Holders,Push Notification,False,False
FB32042,CMP18153,Too many promotional SMS from your bank. Please stop sending these messages!,Negative,-0.03,Hidden Charges,High,Survey,2023-02-03,Closed,43.0,Salaried Millennials,Push Notification,True,True
FB32043,CMP11610,The credit card upgrade offer was excellent. Enjoying the new benefits!,Positive,0.73,Appreciation,Low,Social Media,2023-08-24,Resolved,147.0,Mass Affluent,WhatsApp,False,False
FB32044,CMP12538,Multiple calls from different executives for same product. Poor coordination!,Negative,-0.15,Unclear Terms,Medium,Email,2025-07-14,Closed,,IT Professionals,Call Center,False,False
FB32045,CMP18331,Credit limit mentioned in message doesn't match my actual approved limit.,Very Negative,-0.32,Hidden Charges,High,Chatbot,2023-12-14,Escalated,53.0,Salaried Gen-Z,WhatsApp,False,True
FB32046,CMP10223,Campaign said instant approval but waiting for 5 days now. False promise!,Negative,-0.17,Unsubscribe Failed,High,Chatbot,2026-03-31,In Progress,41.0,Self-Employed,SMS,False,True
FB32047,CMP16802,The app notification for bill payment reminder was helpful. Avoided late fee!,Positive,0.3,Appreciation,Low,App Review,2025-09-30,Resolved,,Premium Card Holders,Push Notification,False,False
FB32048,CMP14169,Too many promotional SMS from your bank. Please stop sending these messages!,Negative,-0.17,Duplicate Messages,Medium,App Review,2024-04-17,Resolved,146.0,Salaried Gen-Z,Call Center,False,False
FB32049,CMP11111,The credit card upgrade offer was excellent. Enjoying the new benefits!,Positive,0.68,Appreciation,Low,Branch,2024-06-03,In Progress,72.0,Women Professionals,SMS,False,False
